BabyId,FirsttimeParent,Crying date,Crying time,Crying seconds,Feeding date,Feeding time,Bottle amount,PumpingDate,PumpingTimePumpingLeftPumpingRight,Pumping Left,PumpingRight,SleepingDate,SleepingTime,SleepingSecond
HPT2_NR_17,1,13-08-2015,14:54:00,NA,13-08-2015,14:54:00,NA,13-08-2015,14:54:00,NA,NA,13-08-2015,14:54:00,5760
HPT2_NR_17,1,13-08-2015,18:15:00,NA,13-08-2015,18:15:00,NA,13-08-2015,18:15:00,NA,NA,13-08-2015,18:15:00,2340
HPT2_NR_17,1,13-08-2015,20:50:00,NA,13-08-2015,20:50:00,NA,13-08-2015,20:50:00,NA,NA,13-08-2015,20:50:00,27000
HPT2_NR_17,1,14-08-2015,05:04:00,NA,14-08-2015,05:04:00,160,14-08-2015,05:04:00,NA,NA,14-08-2015,05:04:00,9600
HPT2_NR_17,1,14-08-2015,09:00:00,NA,14-08-2015,09:00:00,NA,14-08-2015,09:00:00,NA,NA,14-08-2015,09:00:00,5760
HPT2_NR_17,1,14-08-2015,12:15:00,NA,14-08-2015,12:15:00,NA,14-08-2015,12:15:00,NA,NA,14-08-2015,12:15:00,7080
HPT2_NR_17,1,14-08-2015,15:40:00,NA,14-08-2015,15:40:00,NA,14-08-2015,15:40:00,NA,NA,14-08-2015,15:40:00,2400
HPT2_NR_17,1,14-08-2015,18:50:00,NA,14-08-2015,18:50:00,130,14-08-2015,18:50:00,NA,NA,14-08-2015,18:50:00,1800
HPT2_NR_17,1,14-08-2015,22:00:00,NA,14-08-2015,22:00:00,NA,14-08-2015,22:00:00,NA,NA,14-08-2015,22:00:00,26400
HPT2_NR_17,1,15-08-2015,06:20:00,NA,15-08-2015,06:20:00,120,15-08-2015,06:20:00,NA,NA,15-08-2015,06:20:00,6900
HPT2_NR_17,1,15-08-2015,10:00:00,NA,15-08-2015,10:00:00,,15-08-2015,10:00:00,NA,NA,15-08-2015,10:00:00,3600
HPT2_NR_17,1,15-08-2015,16:15:00,NA,15-08-2015,16:15:00,,15-08-2015,16:15:00,NA,NA,15-08-2015,16:15:00,2700
